Gene,Brain Region,Direction of expression relative to low-pathology samples,Average log2 FC,p-value,Bonferroni-corrected p-value,BH FDR,Percent of high-pathology subject nuclei with detected expression,Percent of low-pathology subject nuclei with detected expression
SMCHD1,V2,Up,0.225218487,1.42E-20,5.21E-16,2.79E-18,63.3,60.8
H2AFZ,V2,Up,0.225122828,1.84E-09,6.73E-05,8.32E-08,26.9,21.6
S100A11,V2,Up,0.224494452,3.28E-05,1,0.000427172,31.1,27.1
SRP14,V2,Up,0.224417549,0.000215981,1,0.002011122,43.2,38.5
TPM4,V2,Up,0.224291108,6.16E-06,0.225496949,0.000104905,43.3,39.8
RAPGEF5,V2,Up,0.224159161,3.07E-07,0.011236798,8.08E-06,42.7,39.8
RPL10,V2,Up,0.223720782,4.13E-16,1.51E-11,5.23E-14,64.7,61.9
ACTB,V2,Up,0.222375523,0.010207293,1,0.043417205,76.6,74.9
WDR13,V2,Up,0.221650166,4.59E-07,0.016785126,1.14E-05,25.8,21.5
UVRAG,V2,Up,0.221412035,0.00115272,1,0.007774945,56.9,55.4
CREBRF,V2,Up,0.219366798,0.00841726,1,0.037305723,33.9,30.8
RASIP1,V2,Up,0.218004688,0.024239451,1,0.084848485,35,32.2
MRPL1,V2,Up,0.216768283,9.34E-06,0.341707893,0.000148206,39.5,37.0
LRATD1,V2,Up,0.216399361,3.35E-10,1.23E-05,1.80E-08,19.2,15.7
NEDD9,V2,Up,0.216191984,3.65E-10,1.34E-05,1.95E-08,64.3,60.1
JMJD6,V2,Up,0.216145208,0.017549704,1,0.066255902,11.4,7.1
PALM2-AKAP2,V2,Up,0.216109334,1.95E-09,7.15E-05,8.69E-08,57.3,58.5
TTN,V2,Up,0.215027509,1.14E-05,0.416822059,0.000175341,12.1,9.6
MYH9,V2,Up,0.214652297,2.87E-09,0.000105217,1.23E-07,56.9,56.3
KIF13A,V2,Up,0.21400363,2.65E-07,0.009696177,7.09E-06,35.9,35.3
MIR222HG,V2,Up,0.213891601,0.000571887,1,0.004435605,22,20.4
PHF10,V2,Up,0.213720799,2.01E-06,0.073631408,4.04E-05,32,28.1
RPL36A,V2,Up,0.213116473,0.000500383,1,0.003985659,21.6,18.1
RPL18A,V2,Up,0.213099451,9.01E-13,3.30E-08,7.04E-11,39.6,35.0
KRT10,V2,Up,0.212522847,0.000966552,1,0.006724775,18,13.2
ID1,V2,Up,0.212207177,6.46E-62,2.36E-57,1.64E-58,51.3,56.0
ERO1A,V2,Up,0.212153614,3.61E-07,0.013230154,9.26E-06,36.2,35.2
RPS27A,V2,Up,0.212083522,2.72E-18,9.96E-14,4.37E-16,53.7,50.8
UBE2D3,V2,Up,0.211795123,0.00103515,1,0.007111376,60,57.7
PRKACB,V2,Up,0.211499411,0.0003025,1,0.002633852,40.3,38.7
RND3,V2,Up,0.210685511,0.015012682,1,0.058709407,19.3,15.1
MYL6,V2,Up,0.210528578,1.45E-05,0.532381287,0.000213758,52.6,49.1
RAMP2,V2,Up,0.209422053,2.06E-05,0.752767716,0.000285763,35.3,31.8
HNRNPF,V2,Up,0.209235668,9.43E-05,1,0.001010316,28.8,24.8
RPL37A,V2,Up,0.20854693,1.84E-14,6.75E-10,1.89E-12,59.2,54.7
MBOAT7,V2,Up,0.208471154,0.024223636,1,0.08482226,12.4,8.9
PRKD2,V2,Up,0.207851997,0.00114462,1,0.007727986,21.3,17.8
CNBP,V2,Up,0.207781679,3.46E-06,0.126603695,6.42E-05,27.7,24.0
RPL19,V2,Up,0.207215571,1.90E-11,6.97E-07,1.26E-09,45,41.6
BZW1,V2,Up,0.207033991,1.75E-06,0.063908144,3.57E-05,21.1,17.2
CYSTM1,V2,Up,0.207027957,0.000176307,1,0.00168796,34,30.2
NPC1,V2,Up,0.206456713,0.000104532,1,0.001102262,23.9,20.3
ARF6,V2,Up,0.205863832,1.82E-05,0.665413839,0.000256981,20.7,16.0
RNASEK,V2,Up,0.204385471,6.61E-08,0.002419466,2.06E-06,35,30.5
SEM1,V2,Up,0.203926372,0.000612814,1,0.004681778,35.7,32.5
RRAS,V2,Up,0.202577302,0.004578958,1,0.023292465,23.5,19.5
SASH1,V2,Up,0.202265812,4.95E-21,1.81E-16,1.03E-18,63.1,61.2
HECA,V2,Up,0.202215205,0.001493495,1,0.009483462,17.5,13.9
VEGFA,V2,Up,0.200596681,1.06E-06,0.038794014,2.32E-05,10.4,7.9
CD63,V2,Up,0.200416162,1.02E-06,0.037360639,2.25E-05,45.2,40.3
MAN2A1,V2,Up,0.200388306,0.001326016,1,0.008641394,32.7,31.8
BRI3,V2,Up,0.200267446,4.73E-06,0.172943018,8.42E-05,26.5,22.6
DNTTIP2,V2,Up,0.200174605,0.002738037,1,0.015528493,13.8,10.0
C4orf3,V2,Up,0.199759427,4.78E-10,1.75E-05,2.47E-08,26.8,22.6
UBE2B,V2,Up,0.199671409,8.85E-05,1,0.000964286,37.4,34.8
CADM2,V2,Up,0.199254243,9.44E-07,0.034566981,2.11E-05,35,33.9
COX17,V2,Up,0.199154524,5.87E-08,0.002147667,1.84E-06,18.6,16.1
RPL37,V2,Up,0.199135748,6.93E-09,0.000253778,2.70E-07,43.8,41.8
COX5B,V2,Up,0.198947056,0.001402659,1,0.009033132,29.5,25.3
MIDN,V2,Up,0.198829486,7.14E-09,0.000261214,2.76E-07,34.6,33.2
AC016831.7,V2,Up,0.198529647,4.75E-05,1,0.000579963,24.6,22.2
APOD,V2,Up,0.198504695,1.12E-05,0.409079533,0.000172587,16.7,14.8
DNAJB2,V2,Up,0.198235224,0.00030608,1,0.002653693,14.5,10.8
RPL38,V2,Up,0.198131496,2.87E-10,1.05E-05,1.56E-08,40.7,37.6
AP3S1,V2,Up,0.197433623,0.000415218,1,0.00340853,55.6,51.6
PTMA,V2,Up,0.197410798,0.003137138,1,0.017263573,79.1,78.0
EIF1B,V2,Up,0.197404867,1.16E-06,0.042404,2.50E-05,18.1,14.6
PPP1R14A,V2,Up,0.197160164,0.002873941,1,0.016142062,15,10.9
RPS20,V2,Up,0.197019979,1.73E-08,0.000634594,6.07E-07,35.9,31.7
RPS15A,V2,Up,0.196630579,8.67E-17,3.17E-12,1.19E-14,40.9,36.7
MORF4L1,V2,Up,0.196498144,1.89E-09,6.91E-05,8.46E-08,39.9,36.6
GNG11,V2,Up,0.196485742,0.005275439,1,0.026036142,52.6,49.6
PPP2CB,V2,Up,0.196200748,0.00154698,1,0.009733321,29.6,25.4
ITM2A,V2,Up,0.196083136,1.79E-09,6.56E-05,8.16E-08,64.5,66.0
USP34,V2,Up,0.196075861,1.51E-07,0.005533721,4.29E-06,69.4,67.1
IL18R1,V2,Up,0.195868979,2.92E-05,1,0.000386516,33.8,29.3
BTF3,V2,Up,0.195738364,3.97E-10,1.45E-05,2.09E-08,27.1,23.0
REEP3,V2,Up,0.195714857,8.46E-12,3.09E-07,5.82E-10,49.8,47.7
RPS10,V2,Up,0.195200897,0.00015402,1,0.001513688,26.6,22.0
AC112481.2,V2,Up,0.195180494,0.000202063,1,0.001899749,20.9,16.8
SNU13,V2,Up,0.194543947,2.59E-05,0.946529739,0.000348394,21.8,18.6
ENO2,V2,Up,0.192987305,0.000596697,1,0.004599226,17.2,14.6
ATP2C1,V2,Up,0.192739033,0.000913049,1,0.006457559,34.4,34.0
LINC00486,V2,Up,0.192357042,2.19E-05,0.800914297,0.000302391,29,25.8
VIM,V2,Up,0.192294501,1.57E-09,5.74E-05,7.25E-08,65.5,66.0
GABARAPL1,V2,Up,0.192139553,4.91E-09,0.000179623,1.98E-07,17.8,14.0
MRPL33,V2,Up,0.19127477,0.001439064,1,0.009226938,24.7,21.3
XPO1,V2,Up,0.191222858,8.94E-05,1,0.000972208,29.5,28.2
FP236383.3,V2,Up,0.191038249,1.23E-05,0.450217872,0.000187388,73.7,69.3
NES,V2,Up,0.190932626,2.49E-12,9.12E-08,1.84E-10,28.2,24.8
NACA,V2,Up,0.190800581,2.32E-11,8.50E-07,1.52E-09,34.2,31.2
RHOA,V2,Up,0.19053423,0.024573039,1,0.085736434,50,47.4
EGFR,V2,Up,0.190270354,0.00010681,1,0.001122219,47.1,42.9
DSTN,V2,Up,0.189522763,3.02E-08,0.001105796,1.01E-06,43.3,40.7
HBP1,V2,Up,0.189247665,0.000892035,1,0.006335367,25.3,22.0
TPST2,V2,Up,0.188705349,6.60E-09,0.000241486,2.59E-07,42.5,39.4
TM4SF1,V2,Up,0.188554971,6.03E-21,2.21E-16,1.21E-18,55,55.3
COX7C,V2,Up,0.188175887,4.13E-05,1,0.000517211,27.6,24.1
S100A10,V2,Up,0.187571712,1.43E-13,5.25E-09,1.32E-11,42.2,39.7
PLSCR4,V2,Up,0.187540529,6.24E-23,2.28E-18,1.59E-20,53.3,52.3
CORO1C,V2,Up,0.187044815,0.006601262,1,0.030873435,20.5,18.2
PFN1,V2,Up,0.186528532,0.021818142,1,0.078393538,34.5,29.4
ZIC2,V2,Up,0.186200853,0.002105092,1,0.012484168,20.3,16.5
PABPC1,V2,Up,0.185679681,5.90E-06,0.216115307,0.000101259,44.6,41.8
PCBD1,V2,Up,0.185475398,0.001372331,1,0.008894186,15.6,11.6
RPL35A,V2,Up,0.185436259,1.84E-13,6.72E-09,1.63E-11,38.8,35.5
HOPX,V2,Up,0.185176107,0.009742398,1,0.04183259,23.5,20.5
SPTAN1,V2,Up,0.185137688,2.93E-20,1.07E-15,5.69E-18,46.3,44.0
COPA,V2,Up,0.184842899,0.016833972,1,0.064123873,34.6,31.9
NPIPB4,V2,Up,0.18465964,0.012266141,1,0.050040208,34.7,30.3
PRDX6,V2,Up,0.184347026,0.026526692,1,0.090796568,25.1,21.7
CPEB4,V2,Up,0.184221124,0.005136942,1,0.025519446,34.7,33.6
SEC61G,V2,Up,0.183867224,9.34E-08,0.003418857,2.81E-06,14.8,11.7
SLC3A2,V2,Up,0.183160993,2.14E-09,7.85E-05,9.40E-08,51.1,47.2
ANKRD33B,V2,Up,0.182992467,1.67E-21,6.11E-17,3.66E-19,13.6,10.5
TJP2,V2,Up,0.182424648,2.88E-13,1.05E-08,2.46E-11,44.1,43.4
ACSL3,V2,Up,0.182172876,0.000776269,1,0.005654999,42.1,39.9
ZBTB38,V2,Up,0.181398003,2.36E-05,0.865223796,0.00032295,59.3,56.8
CCT5,V2,Up,0.181248161,0.015581378,1,0.060471291,22.9,20.0
ICAM2,V2,Up,0.181212459,0.001710745,1,0.010506214,55.1,50.7
ZEB1,V2,Up,0.181151749,0.014759609,1,0.057955134,66.5,66.1
ESAM,V2,Up,0.18105771,5.99E-06,0.219093288,0.000102359,52.1,49.4
IRF1,V2,Up,0.180569177,0.000103639,1,0.00109455,11.7,8.5
ANXA5,V2,Up,0.180534826,0.000703062,1,0.005195983,37.8,34.6
TRA2B,V2,Up,0.180361415,3.07E-07,0.011253995,8.09E-06,34.6,31.3
PFKP,V2,Up,0.180114491,0.006027663,1,0.028840811,17.3,14.8
FAU,V2,Up,0.179858969,6.65E-05,1,0.000760733,42,38.9
TRMT112,V2,Up,0.179417328,1.63E-05,0.594993091,0.000234335,16.8,12.9
UBA52,V2,Up,0.17903059,0.00022712,1,0.002094743,40.4,36.3
SPP1,V2,Up,0.178282001,1.54E-07,0.005645414,4.37E-06,17.2,16.5
CSNK1A1,V2,Up,0.178183819,2.70E-07,0.009874415,7.21E-06,72.1,70.1
SKI,V2,Up,0.178025494,0.000656563,1,0.004933974,30.2,27.6
ARHGAP5,V2,Up,0.177533189,0.000468047,1,0.003776806,40.2,38.3
RAPGEF3,V2,Up,0.176373472,0.001139416,1,0.007697951,26.2,22.4
VAMP5,V2,Up,0.176047371,0.001956503,1,0.011743049,29.3,25.9
POLR2L,V2,Up,0.175613243,0.012832774,1,0.051929807,23.1,21.1
RPL34,V2,Up,0.175345357,3.26E-06,0.119485591,6.13E-05,44.2,42.8
PRDX1,V2,Up,0.17522474,0.001136775,1,0.007682652,34.2,31.2
RPLP2,V2,Up,0.175205242,0.000360656,1,0.003037711,49.4,46.6
RPL21,V2,Up,0.175138475,2.43E-11,8.90E-07,1.57E-09,50.8,47.6
UACA,V2,Up,0.174959813,0.001241845,1,0.008218351,59.6,57.8
ANAPC16,V2,Up,0.174883999,0.005637376,1,0.027293736,33,31.1
TRIM56,V2,Up,0.174332521,0.001039456,1,0.007136151,26.2,23.5
RAB21,V2,Up,0.173863807,0.000628197,1,0.00476182,29,26.0
C12orf57,V2,Up,0.173785382,2.17E-05,0.793395844,0.000299756,24.2,19.9
TM6SF1,V2,Up,0.173774494,2.40E-05,0.87742301,0.000326627,15.3,12.7
PEA15,V2,Up,0.173751994,0.000117836,1,0.001217356,28.9,25.5
FERMT2,V2,Up,0.173667361,0.001360904,1,0.00882855,31.4,30.3
S1PR1,V2,Up,0.172890692,1.20E-07,0.004389066,3.48E-06,49.7,48.0
RPS13,V2,Up,0.172312191,4.31E-09,0.000157612,1.76E-07,34.9,32.1
ATP5ME,V2,Up,0.171225995,2.18E-06,0.079888913,4.34E-05,27.2,24.9
PDS5B,V2,Up,0.171126082,0.001593027,1,0.009957273,47.4,45.3
SLC30A1,V2,Up,0.170774693,3.49E-07,0.012791347,9.03E-06,45,44.3
SMG1,V2,Up,0.170643938,0.005681939,1,0.027443266,65.6,63.5
NDUFB2,V2,Up,0.170341484,0.000343522,1,0.002927026,21.8,18.6
DOCK6,V2,Up,0.17020619,0.000618505,1,0.004702341,41.7,41.1
IRAK3,V2,Up,0.170190403,1.06E-22,3.86E-18,2.62E-20,65,63.4
SLC16A1,V2,Up,0.170088853,2.81E-35,1.03E-30,1.85E-32,68.5,66.8
S100A6,V2,Up,0.170072868,3.49E-19,1.28E-14,6.19E-17,23.2,20.5
HNRNPH1,V2,Up,0.169599412,0.015773301,1,0.061064994,44,40.5
RAN,V2,Up,0.16950202,5.60E-06,0.204852492,9.71E-05,21.7,18.5
CDK2AP1,V2,Up,0.169069892,7.66E-05,1,0.000854792,15.4,12.5
NAA38,V2,Up,0.16898281,0.001375375,1,0.008903636,19.5,16.3
RPL11,V2,Up,0.168978041,9.86E-12,3.61E-07,6.72E-10,51.7,49.9
UBE2R2,V2,Up,0.168734576,1.53E-05,0.56129177,0.000223709,30,28.5
NXPE3,V2,Up,0.168675531,0.022634234,1,0.080571707,14.2,12.2
CNOT2,V2,Up,0.1686554,1.50E-06,0.05476226,3.12E-05,42,41.5
H3F3B,V2,Up,0.167536395,5.65E-05,1,0.00066791,67.5,66.3
RBM8A,V2,Up,0.166843708,0.000327535,1,0.002806284,22.7,18.9
RPS3A,V2,Up,0.166812997,3.28E-13,1.20E-08,2.74E-11,36.4,33.4
NEAT1,V2,Up,0.166707562,5.04E-10,1.85E-05,2.59E-08,94.3,96.6
NOP10,V2,Up,0.165923206,0.005584299,1,0.027139904,13.5,10.4
TMA7,V2,Up,0.165257763,4.42E-07,0.016186508,1.10E-05,30.7,28.2
ATP5MD,V2,Up,0.164968067,0.002481722,1,0.014330011,20.2,17.7
PSMA7,V2,Up,0.164906756,1.39E-10,5.08E-06,8.00E-09,30.7,28.2
RPL24,V2,Up,0.164855685,9.19E-08,0.003365033,2.77E-06,39.4,36.0
SKP1,V2,Up,0.164769367,2.70E-11,9.87E-07,1.73E-09,33.6,30.7
MT1F,V2,Up,0.164753268,1.70E-16,6.22E-12,2.25E-14,20.8,19.0
SEMA3F,V2,Up,0.164333467,0.008514809,1,0.037623532,21.6,18.5
LARP1B,V2,Up,0.164245222,1.35E-08,0.000495839,4.87E-07,21.9,19.9
SH3BGRL3,V2,Up,0.164133893,1.03E-05,0.378077065,0.000161507,26.8,23.7
LINC00513,V2,Up,0.164076947,4.81E-05,1,0.000584851,13.5,10.9
ITPRID2,V2,Up,0.163521579,0.00183166,1,0.011124771,38.7,36.7
KAT2B,V2,Up,0.16340218,0.000111307,1,0.001161087,23,21.1
HINT1,V2,Up,0.163223891,3.19E-08,0.00116884,1.06E-06,26.7,24.5
GLRX,V2,Up,0.163118421,0.002671417,1,0.015226928,11.2,9.2
SLC12A2,V2,Up,0.16291523,0.000149382,1,0.001476653,43.3,40.7
TOMM7,V2,Up,0.162614983,6.03E-07,0.02206818,1.43E-05,23.8,20.7
AFF4,V2,Up,0.162553285,0.002623267,1,0.015016171,43.8,42.8
CLEC1A,V2,Up,0.162117795,1.72E-06,0.062803405,3.52E-05,21.6,19.7
CLIC4,V2,Up,0.162007583,1.24E-05,0.453614956,0.00018852,52.3,50.7
GNB2,V2,Up,0.161789276,0.001705851,1,0.010485636,22.6,19.6
RPL14,V2,Up,0.161773715,1.58E-09,5.79E-05,7.29E-08,39.8,37.1
NUTM2B-AS1,V2,Up,0.160834636,0.000108572,1,0.001137099,35.3,33.6
HSBP1,V2,Up,0.160306954,1.06E-06,0.038763283,2.32E-05,16.9,13.6
GSN,V2,Up,0.160168014,0.005331281,1,0.026222853,35.1,32.4
RPL36AL,V2,Up,0.15991944,7.74E-08,0.002831247,2.37E-06,21,17.4
ELOC,V2,Up,0.159700901,0.021816319,1,0.078393538,18.8,16.2
RAP1B,V2,Up,0.159525585,3.80E-07,0.013924434,9.66E-06,57.9,57.5
MTHFD1L,V2,Up,0.159503024,0.015062168,1,0.058870984,19.7,18.7
SAT1,V2,Up,0.159138756,2.25E-44,8.22E-40,2.41E-41,73.5,70.7
GCH1,V2,Up,0.158942282,2.89E-09,0.000105615,1.23E-07,12.8,10.2
GIT1,V2,Up,0.158773308,1.50E-06,0.054834593,3.13E-05,17.3,14.9
MYL12A,V2,Up,0.158542752,0.000487538,1,0.003901643,38.7,34.8
RIT1,V2,Up,0.158508434,0.002971171,1,0.016578531,17.3,14.4
KIAA1549,V2,Up,0.158456177,1.29E-06,0.047385557,2.75E-05,35,33.1
TMEM50B,V2,Up,0.15836762,8.48E-12,3.10E-07,5.82E-10,42.2,40.4
SNX25,V2,Up,0.158168857,3.02E-06,0.110576656,5.74E-05,25.3,24.7
RAB7A,V2,Up,0.15755572,0.003788128,1,0.020024225,38,36.5
ITSN2,V2,Up,0.157246589,0.000169069,1,0.001633237,54.9,53.1
YPEL3,V2,Up,0.156837805,5.71E-10,2.09E-05,2.91E-08,16.1,13.0
SLC39A8,V2,Up,0.156691982,0.011174995,1,0.046628438,38.6,38.4
RPL29,V2,Up,0.156636349,4.84E-06,0.177196481,8.56E-05,41.7,39.0
CAPZA2,V2,Up,0.156597722,0.017139327,1,0.065032119,41.5,39.5
SPAG9,V2,Up,0.15654589,3.56E-06,0.130160999,6.58E-05,53.4,52.8
TUBB4B,V2,Up,0.156530417,1.98E-06,0.072312594,3.98E-05,35.3,33.2
MTFP1,V2,Up,0.15647373,8.14E-16,2.98E-11,9.95E-14,10.8,7.9
CD55,V2,Up,0.15629456,0.003967622,1,0.020805771,21.7,20.7
CYTOR,V2,Up,0.156065899,1.17E-08,0.000427192,4.28E-07,11.5,9.4
SLCO4A1,V2,Up,0.15559791,1.62E-07,0.005937694,4.55E-06,68.1,65.6
SGPP2,V2,Up,0.154777755,0.000477339,1,0.003833566,57.7,52.4
SPEN,V2,Up,0.154242592,5.66E-05,1,0.000668666,43,42.0
MRPL14,V2,Up,0.154153618,0.009038282,1,0.039423776,13.9,11.3
AGPAT4,V2,Up,0.154011477,0.001863826,1,0.011293214,16.8,15.2
BTNL9,V2,Up,0.153374919,3.21E-25,1.18E-20,1.11E-22,65,63.1
DENND4A,V2,Up,0.152577953,0.000753813,1,0.005519023,47,46.9
TBPL1,V2,Up,0.152411285,0.000257001,1,0.002317895,17.4,15.4
LINC02798,V2,Up,0.152141362,0.009066241,1,0.039528809,10.2,9.2
TRIR,V2,Up,0.152076517,0.014056216,1,0.055871264,25.3,21.9
CTNNAL1,V2,Up,0.152002562,0.001300227,1,0.008508036,20.6,18.2
RPL32,V2,Up,0.151869764,5.59E-05,1,0.000661928,43.6,41.4
BAIAP2,V2,Up,0.151532747,5.70E-06,0.208700847,9.84E-05,14.2,11.2
SELENOS,V2,Up,0.151220326,0.000128513,1,0.00130193,19.1,17.0
AP5M1,V2,Up,0.15114409,0.003452369,1,0.018596626,15.8,14.3
CHCHD2,V2,Up,0.150882728,1.27E-06,0.046624564,2.72E-05,27.6,25.3
AHCTF1,V2,Up,0.150715224,0.00035646,1,0.003017491,24.7,22.6
OGT,V2,Up,0.150324031,0.016595526,1,0.063488476,27.7,25.7
NFAT5,V2,Up,0.150312803,0.000135921,1,0.001364097,61.6,61.2
CNN3,V2,Up,0.150175946,0.000114235,1,0.001186773,26.3,24.2
ZFP36L2,V2,Up,0.149793812,0.003982714,1,0.020858082,16.4,14.6
SERP1,V2,Up,0.149220699,0.013901562,1,0.055342878,24.2,21.3
MT-ND1,V2,Up,0.148589678,2.16E-13,7.92E-09,1.90E-11,82.4,80.5
RHOB,V2,Up,0.148263402,3.19E-09,0.000116803,1.35E-07,37.4,35.5
RPL6,V2,Up,0.148191033,4.31E-07,0.015784203,1.08E-05,43.3,41.6
HP1BP3,V2,Up,0.147953655,3.82E-09,0.000139727,1.58E-07,51,48.5
SPOCK3,V2,Up,0.147934478,5.28E-07,0.019333169,1.28E-05,41.1,37.7
CAVIN1,V2,Up,0.147823282,6.92E-08,0.002533259,2.15E-06,34.1,32.0
CASP4,V2,Up,0.147812315,0.000989573,1,0.006856486,30,29.0
HILPDA,V2,Up,0.147496902,2.63E-17,9.61E-13,3.91E-15,15.7,15.9
PCF11,V2,Up,0.146935106,0.001577835,1,0.009880496,27.2,25.0
CALM2,V2,Up,0.146797161,5.67E-14,2.07E-09,5.53E-12,47.1,44.1
ARIH1,V2,Up,0.146589901,0.004970434,1,0.02483755,46.6,45.4
MEF2A,V2,Up,0.146527785,3.91E-06,0.143187494,7.12E-05,76.2,76.3
UFM1,V2,Up,0.146123184,0.008820909,1,0.038688423,24.4,22.6
CGNL1,V2,Up,0.146083649,7.14E-05,1,0.0008082,66,65.0
BCL2L1,V2,Up,0.145948976,4.51E-24,1.65E-19,1.35E-21,38.5,36.0
SET,V2,Up,0.145827339,0.003623338,1,0.019353902,24.5,22.1
RPL7,V2,Up,0.145708741,8.78E-10,3.21E-05,4.26E-08,29,26.5
COX5A,V2,Up,0.145355891,1.03E-05,0.378466366,0.000161507,14.5,12.3
NECTIN3,V2,Up,0.145148223,0.016673572,1,0.063667558,16,14.3
CFL1,V2,Up,0.145025273,5.61E-06,0.205405681,9.72E-05,43.4,41.0
PDE3B,V2,Up,0.145013656,0.012200581,1,0.049858698,21,19.3
PPP3R1,V2,Up,0.144879821,8.19E-05,1,0.000901939,38,38.1
CD151,V2,Up,0.144859883,8.80E-11,3.22E-06,5.23E-09,24.7,22.6
HPSE2,V2,Up,0.14467171,0.000214311,1,0.001999227,10.8,8.4
SMNDC1,V2,Up,0.144624478,0.004786485,1,0.024095115,15,12.9
STAG2,V2,Up,0.144191821,0.005041103,1,0.02510452,37.8,36.9
TGFB1,V2,Up,0.14416915,0.009322301,1,0.040394657,17.1,14.6
ATP6V1G1,V2,Up,0.144112095,6.69E-11,2.45E-06,4.07E-09,25.7,23.2
SPARC,V2,Up,0.143706352,0.014214152,1,0.05634521,54.1,49.5
RABAC1,V2,Up,0.143506318,0.000944254,1,0.006600389,27.9,24.8
STAG1,V2,Up,0.143273846,0.002974294,1,0.016591417,58.5,55.9
LAMA5,V2,Up,0.142362094,8.22E-12,3.01E-07,5.70E-10,34.7,33.0
EIF3I,V2,Up,0.142289492,6.17E-06,0.225859466,0.000104905,17.8,14.9
PPDPF,V2,Up,0.142126946,0.009880375,1,0.042291408,20.4,17.5
RPL17,V2,Up,0.141302054,3.77E-07,0.013791522,9.59E-06,50.4,47.3
PFDN5,V2,Up,0.14128623,0.000190458,1,0.001806478,26.3,23.9
ENSA,V2,Up,0.140582886,0.000655994,1,0.004932172,32.3,30.4
PDZD2,V2,Up,0.140578074,2.20E-05,0.804935022,0.000303703,49.1,50.2
SLC25A5,V2,Up,0.140306966,2.19E-07,0.00801567,5.95E-06,13.6,11.5
PEAR1,V2,Up,0.140263216,0.000586126,1,0.004530529,17.7,14.7
ID2,V2,Up,0.14024341,0.004244305,1,0.021918336,10.4,8.8
KAT6A,V2,Up,0.140239647,0.00148042,1,0.009412167,61.9,59.6
MRFAP1,V2,Up,0.140124342,6.42E-10,2.35E-05,3.21E-08,21.6,18.5
TECR,V2,Up,0.140082326,0.001615196,1,0.010072687,17.3,15.1
ISG20,V2,Up,0.139409279,0.004494436,1,0.022954168,10.6,9.3
RPS3,V2,Up,0.139106852,2.84E-11,1.04E-06,1.81E-09,42.6,40.2
SBDS,V2,Up,0.139019424,0.014908122,1,0.058380835,20.4,18.2
RSL24D1,V2,Up,0.138754807,0.001308858,1,0.008559015,11.8,8.8
RPL26,V2,Up,0.138385806,9.23E-14,3.38E-09,8.79E-12,37.9,35.3
BMP6,V2,Up,0.138330155,7.02E-05,1,0.000796893,28.8,23.8
RHOC,V2,Up,0.138123387,0.000179304,1,0.001715037,43.5,41.5
SLC20A2,V2,Up,0.137981123,1.22E-05,0.447864035,0.000186687,28.7,27.0
ACTR3,V2,Up,0.137631419,4.31E-05,1,0.000535088,32.5,31.8
WWC2,V2,Up,0.137399683,6.87E-26,2.52E-21,2.50E-23,57,53.6
ATP6V0E1,V2,Up,0.137257549,2.26E-05,0.825937831,0.000310442,27.2,26.7
TBC1D8,V2,Up,0.1369392,0.000128194,1,0.001299344,27.1,25.4
GABARAPL2,V2,Up,0.136905517,1.26E-10,4.61E-06,7.34E-09,25.1,23.8
ARHGEF2,V2,Up,0.136780124,0.021304607,1,0.077071976,17.8,15.8
DENND3,V2,Up,0.136690371,7.31E-05,1,0.000822861,33.5,31.7
USPL1,V2,Up,0.136129431,0.001425794,1,0.009159144,12.5,11.0
EFNA1,V2,Up,0.136109916,0.017607887,1,0.066377208,28.4,25.9
SARAF,V2,Up,0.136094456,0.006638452,1,0.030992114,36.4,34.5
ACTN4,V2,Up,0.135846109,6.63E-08,0.002427657,2.06E-06,55,55.5
RPS25,V2,Up,0.135705117,2.08E-13,7.60E-09,1.83E-11,39,35.8
COL4A2,V2,Up,0.135670333,1.22E-07,0.004447585,3.51E-06,25.2,24.3
RAC1,V2,Up,0.135421065,2.48E-05,0.906139233,0.00033597,61.7,59.8
CDK2AP2,V2,Up,0.135389016,0.000699589,1,0.005175946,16.7,14.1
SAV1,V2,Up,0.134861153,0.003507821,1,0.018825674,19.9,17.4
NDUFC1,V2,Up,0.134723209,1.83E-07,0.006682202,5.06E-06,18.4,16.6
NAA60,V2,Up,0.134683397,0.018503303,1,0.069062961,10.1,7.5
KMT2E,V2,Up,0.134177971,9.43E-10,3.45E-05,4.56E-08,67,64.7
SRGAP2C,V2,Up,0.134114488,0.000108617,1,0.001137099,34.2,32.3
AC020916.1,V2,Up,0.133860222,0.003310131,1,0.018006513,11,8.3
TIPARP,V2,Up,0.133682718,9.19E-18,3.36E-13,1.42E-15,22.9,22.6
CCDC93,V2,Up,0.133387447,0.001176028,1,0.00787224,24.3,22.6
SREBF2,V2,Up,0.133124242,0.026462081,1,0.090638743,21.2,20.9
PHLPP1,V2,Up,0.133052624,0.000123504,1,0.001259954,29.3,27.9
SERBP1,V2,Up,0.132992397,1.72E-11,6.28E-07,1.15E-09,31.8,30.8
SNRPG,V2,Up,0.132771817,0.000256095,1,0.00231177,15.6,13.6
DNAJC15,V2,Up,0.13247113,1.55E-05,0.568411959,0.000225461,33.4,32.4
PPP1R10,V2,Up,0.132423783,0.004572241,1,0.023274653,21.2,19.4
DYNLRB1,V2,Up,0.13231983,0.012242526,1,0.049997879,19.4,16.3
ZFAND5,V2,Up,0.132136463,5.78E-05,1,0.000680232,25,23.4
TENT5A,V2,Up,0.131912149,0.001604631,1,0.010020583,11.2,8.6
DUSP16,V2,Up,0.13132621,0.000296182,1,0.002589906,26.5,25.6
